street_number,street_name,zip_code,latitude,longitude,people_count
11,BUTTERNUT LN,01060,42.339319168748,-72.650904503023,1
23,RIDGEWOOD TER,01060,42.333843103765,-72.645412596243,1
38,DOGWOOD LN,01060,42.341228105287,-72.651918294212,1
39,HILLSIDE RD,010602119,42.325805696811,-72.641561279372,3
27,LADYSLIPPER LN,01062,42.303077160522,-72.704157164648,3
143,PROSPECT AVE,01060,42.335480718098,-72.64838993207,4
279,FLORENCE RD,01062,42.320911419727,-72.674968947039,1
5,SHEPHERDS HOLLOW,01053,42.340508560809,-72.702214826225,1
309,SOUTH ST,01060,42.308053999351,-72.641742663757,3
15,FORT HILL TER,010604007,42.313266998303,-72.633921593723,3
64,REVELL AVE,01060,42.308093184749,-72.636075826658,1
206,NORTH ST,01060,42.329417416979,-72.627772461915,1
65,GOLDENCHAIN LN,01060,42.340620459216,-72.64996111982,1
11,WHITTIER ST,01062,42.299779133079,-72.677906552645,3
258,CRESCENT ST,01060,42.323379806393,-72.642466189639,1
70,HAWTHORN LN,01060,42.341883486296,-72.65111161985,2
15,HEBERT AVE,01060,42.310746140923,-72.638237100392,1
47,WARNER ST,010622728,42.325038040208,-72.659818237955,3
15,VERNON ST,01060,42.324160371127,-72.65029614449,2
29,ORCHARD ST,010602324,42.327413764935,-72.62687610119,1
62,FAIRVIEW AVE,01060,42.309165816898,-72.634543447119,1
439,ELM ST,01060,42.32662293237,-72.651943188464,1
69,RICK DR,010621045,42.348865905008,-72.667219709916,2
152,ACREBROOK DR,01062,42.316612425408,-72.686891449935,2
33,DOGWOOD LN,010604501,42.340749372887,-72.651890382474,1
26,NONOTUCK ST,01062,42.328991993484,-72.661972889985,1
316,BURTS PIT RD,01062,42.31442378476,-72.662515031482,1
81,LAKE ST,010621318,42.341837008643,-72.673075978026,1
102,CRESCENT ST,01060,42.326228982921,-72.639159445017,2
633,RYAN RD,01062,42.315292610934,-72.698389157978,1
12,OLIVE ST,01060,42.309454489643,-72.636859366967,1
274,CRESCENT ST,01060,42.322775219717,-72.642388573216,4
126,NORTH MAPLE ST,01062,42.341366197142,-72.672215743303,1
34,BRIDGE RD,01062,42.344166590992,-72.679367266912,6
92,SPRING ST,01062,42.332898840463,-72.682783311551,1
31,LYMAN RD,01060,42.311860556859,-72.631702820133,4
143,FEDERAL ST,01062,42.323916457744,-72.655940937184,3
44,MARY JANE LN,010621067,42.347566123282,-72.664610339638,2
27,CRABAPPLE LN,010601095,42.340665763403,-72.652654979682,2
68,NORTH MAIN ST,01062,42.336873036035,-72.674661666469,3
51,HATFIELD ST,01060,42.335681464679,-72.65233655118,36
46,ACREBROOK DR,01062,42.31949060332,-72.68876606258,2
377,PROSPECT ST,01060,42.330882196469,-72.649819046562,2
545,SYLVESTER RD,01062,42.327792878415,-72.71925012242,2
569,RIVERSIDE DR,01062,42.328121742386,-72.669336308106,1
186,GLENDALE RD,01062,42.292084629783,-72.715859726405,3
267,LOCUST ST,01062,42.335123649023,-72.663263870712,29
25,MARIAN ST,01060,42.355360580774,-72.642854439394,1
79,WEST ST,01060,42.314661663172,-72.637602757959,1
84,RYAN RD,01062,42.327894718539,-72.68169265831,2
11,MARC CIR,010621031,42.347194260148,-72.665360519972,1
21,HAMPDEN ST,01060,42.307219497071,-72.640914699361,1
52,GILRAIN TER,01062,42.320296146125,-72.687668955274,1
70,BEACON ST,010621941,42.331728265775,-72.667715750946,2
29,MARSHALL ST,01060,42.333447268388,-72.622681042469,2
147,HINCKLEY ST,01062,42.328765556369,-72.662079340155,3
81,CONZ ST,010603844,42.313166038279,-72.627911936784,4
63,VERNON ST,01060,42.321989206747,-72.650679448922,1
120,ACREBROOK DR,01062,42.317618002332,-72.686429020337,3
435,NORTH KING ST,01060,42.35108099056,-72.641603440345,2
212,PROSPECT ST,01060,42.327564387735,-72.639704855457,3
11,BARRETT PL,01060,42.322810800896,-72.637209311424,2
6199,HATHAWAY FARMS,01060,42.3253327,-72.6361794,2
39,WINSLOW AVE,01062,42.326631146635,-72.660780480439,2
18,CORTICELLI ST,01062,42.332119449196,-72.677224265727,1
11,HIGH ST,01062,42.336644712992,-72.663744237583,2
23,CEDAR ST,01060,42.306303187416,-72.642176175789,2
147,MAPLEWOOD TER,01062,42.326409487206,-72.662516791682,1
86,DREWSEN DR,01062,42.3114969499,-72.698726110486,2
78,OAK ST,01062,42.341278438615,-72.675131136866,1
287,COLES MEADOW RD,01060,42.363333363255,-72.64440090053,2
272,SYLVESTER RD,01062,42.318343246504,-72.717388334087,2
20,CRABAPPLE LN,01060,42.339906279156,-72.652477534792,1
38,FORT ST,010604208,42.310052915621,-72.633545833003,2
134,MAPLEWOOD TER,01062,42.325728415663,-72.664681082901,1
52,FIRETHORN LN,01060,42.339839726845,-72.650602419232,2
71,STATE ST,010603037,42.320812848546,-72.633821932894,3
12,WHITE PINE DR,010623540,42.312220433872,-72.694699192743,2
6,ASPEN LN,01060,42.339555789875,-72.652218031069,1
12,MOUNTAIN ST,01062,42.345034746614,-72.668925008117,2
78,VERNON ST,01060,42.321105796062,-72.650578949903,2
34,FERN ST,010621309,42.34329244231,-72.675736477913,1
1133,WESTHAMPTON RD,01062,42.294951953131,-72.722400293091,1
934,BURTS PIT RD,01062,42.3099092498,-72.688050248049,2
11,CLOVERDALE ST,01062,42.34642878284,-72.667679960219,1
216,MAPLE RIDGE RD,01062,42.306504730278,-72.681968087648,2
50,UNION ST,01060,42.323731636779,-72.628178481305,22
20,HAMPTON AVE,01060,42.317876416407,-72.628696650559,78
29,STODDARD ST,01060,42.327633454617,-72.636901444121,3
545,RIVERSIDE DR,01062,42.328566905264,-72.668402815549,2
32,GRAVES AVE,010603204,42.322448283584,-72.628107318947,1
70,MARKET ST,010603210,42.322927602717,-72.630411839406,1
92,CLEMENT ST,01062,42.31759390436,-72.665348030937,1
37,DOGWOOD LN,01060,42.341228105287,-72.651918294212,1
108,GROVE ST,01060,42.307665623868,-72.647347810048,7
145,STATE ST,01060,42.323288695106,-72.634579908398,1
72,UNION ST,01060,42.323897724191,-72.62723275117,1
81,CONZ ST,01060,42.313166038279,-72.627911936784,152
464,FLORENCE RD,01062,42.31533192206,-72.671831852138,2
43,MANN TER,01062,42.331598052909,-72.670067377701,1
68,FRONT ST,01053,42.354660021306,-72.697105888602,2
399,BRIDGE RD,01062,42.341689990061,-72.664401797887,6
9,SANDERSON AVE,01060,42.323812731692,-72.64470038593,1
432,RYAN RD,01062,42.319619391262,-72.691386329332,1
