"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00190120","AMHERST, MA US","2012-07-05","89",",,7","67",",,7"
"USC00190120","AMHERST, MA US","2012-07-06","82",",,7","58",",,7"
"USC00190120","AMHERST, MA US","2012-07-07","90",",,7","63",",,7"
"USC00190120","AMHERST, MA US","2012-07-08","84",",,7","59",",,7"
"USC00190120","AMHERST, MA US","2012-07-09","87",",,7","54",",,7"
"USC00190120","AMHERST, MA US","2012-07-10","82",",,7","52",",,7"
"USC00190120","AMHERST, MA US","2012-07-11","84",",,7","52",",,7"
"USC00190120","AMHERST, MA US","2012-07-12","88",",,7","59",",,7"
"USC00190120","AMHERST, MA US","2012-07-13","90",",,7","62",",,7"
"USC00190120","AMHERST, MA US","2012-07-14","89",",,7","65",",,7"
"USC00190120","AMHERST, MA US","2012-07-15","90",",,7","64",",,7"
"USC00190120","AMHERST, MA US","2012-07-16","86",",,7","67",",,7"
"USC00190120","AMHERST, MA US","2012-07-17","90",",,7","66",",,7"
"USC00190120","AMHERST, MA US","2012-07-18","96",",,7","71",",,7"
"USC00190120","AMHERST, MA US","2012-07-19","92",",,7","68",",,7"
"USC00190120","AMHERST, MA US","2012-07-20","84",",,7","65",",,7"
"USC00190120","AMHERST, MA US","2012-07-21","71",",,7","51",",,7"
"USC00190120","AMHERST, MA US","2012-07-22","84",",,7","55",",,7"
"USC00190120","AMHERST, MA US","2012-07-23","86",",,7","63",",,7"
"USC00190120","AMHERST, MA US","2012-07-24","86",",,7","63",",,7"
"USC00190120","AMHERST, MA US","2012-07-25","89",",,7","53",",,7"
"USC00190120","AMHERST, MA US","2012-07-26","83",",,7","59",",,7"
"USC00190120","AMHERST, MA US","2012-07-27","85",",,7","66",",,7"
"USC00190120","AMHERST, MA US","2012-07-28","81",",,7","67",",,7"
"USC00190120","AMHERST, MA US","2012-07-29","77",",,7","65",",,7"
"USC00190120","AMHERST, MA US","2012-07-30","75",",,7","57",",,7"
"USC00190120","AMHERST, MA US","2012-07-31","83",",,7","56",",,7"
"USC00190120","AMHERST, MA US","2012-08-01","80",",,7","63",",,7"
"USC00190120","AMHERST, MA US","2012-08-02","85",",,7","65",",,7"
"USC00190120","AMHERST, MA US","2012-08-03","90",",,7","65",",,7"
"USC00190120","AMHERST, MA US","2012-08-04","92",",,7","69",",,7"
"USC00190120","AMHERST, MA US","2012-08-05","92",",,7","71",",,7"
"USC00190120","AMHERST, MA US","2012-08-06","89",",,7","67",",,7"
"USC00190120","AMHERST, MA US","2012-08-07","80",",,7","55",",,7"
"USC00190120","AMHERST, MA US","2012-08-08","83",",,7","58",",,7"
"USC00190120","AMHERST, MA US","2012-08-09","88",",,7","60",",,7"
"USC00190120","AMHERST, MA US","2012-08-10","90",",,7","70",",,7"
"USC00190120","AMHERST, MA US","2012-08-11","82",",,7","66",",,7"
"USC00190120","AMHERST, MA US","2012-08-12","83",",,7","66",",,7"
"USC00190120","AMHERST, MA US","2012-08-13","86",",,7","61",",,7"
"USC00190120","AMHERST, MA US","2012-08-14","83",",,7","60",",,7"
"USC00190120","AMHERST, MA US","2012-08-15","80",",,7","62",",,7"
"USC00190120","AMHERST, MA US","2012-08-16","82",",,7","65",",,7"
"USC00190120","AMHERST, MA US","2012-08-17","83",",,7","58",",,7"
"USC00190120","AMHERST, MA US","2012-08-18","86",",,7","62",",,7"
"USC00190120","AMHERST, MA US","2012-08-19","77",",,7","51",",,7"
"USC00190120","AMHERST, MA US","2012-08-20","75",",,7","52",",,7"
"USC00190120","AMHERST, MA US","2012-08-21","79",",,7","56",",,7"
"USC00190120","AMHERST, MA US","2012-08-22","80",",,7","51",",,7"
"USC00190120","AMHERST, MA US","2012-08-23","81",",,7","53",",,7"
"USC00190120","AMHERST, MA US","2012-08-24","85",",,7","57",",,7"
"USC00190120","AMHERST, MA US","2012-08-25","84",",,7","60",",,7"
"USC00190120","AMHERST, MA US","2012-08-26","83",",,7","57",",,7"
"USC00190120","AMHERST, MA US","2012-08-27","83",",,7","56",",,7"
"USC00190120","AMHERST, MA US","2012-08-28","83",",,7","58",",,7"
"USC00190120","AMHERST, MA US","2012-08-29","84",",,7","52",",,7"
"USC00190120","AMHERST, MA US","2012-08-30","76",",,7","47",",,7"
"USC00190120","AMHERST, MA US","2012-08-31","80",",,7","50",",,7"
"USC00190120","AMHERST, MA US","2012-09-01","87",",,7","53",",,7"
"USC00190120","AMHERST, MA US","2012-09-02","84",",,7","59",",,7"
"USC00190120","AMHERST, MA US","2012-09-03","81",",,7","53",",,7"
"USC00190120","AMHERST, MA US","2012-09-04","77",",,7","54",",,7"
"USC00190120","AMHERST, MA US","2012-09-05","77",",,7","54",",,7"
"USC00190120","AMHERST, MA US","2012-09-06","82",",,7","61",",,7"
"USC00190120","AMHERST, MA US","2012-09-07","78",",,7","64",",,7"
"USC00190120","AMHERST, MA US","2012-09-08","85",",,7","67",",,7"
"USC00190120","AMHERST, MA US","2012-09-09","81",",,7","57",",,7"
"USC00190120","AMHERST, MA US","2012-09-10","75",",,7","53",",,7"
"USC00190120","AMHERST, MA US","2012-09-11","67",",,7","41",",,7"
"USC00190120","AMHERST, MA US","2012-09-12","73",",,7","41",",,7"
"USC00190120","AMHERST, MA US","2012-09-13","78",",,7","44",",,7"
"USC00190120","AMHERST, MA US","2012-09-14","81",",,7","50",",,7"
"USC00190120","AMHERST, MA US","2012-09-15","80",",,7","59",",,7"
"USC00190120","AMHERST, MA US","2012-09-16","70",",,7","42",",,7"
"USC00190120","AMHERST, MA US","2012-09-17","70",",,7","41",",,7"
"USC00190120","AMHERST, MA US","2012-09-18","75",",,7","42",",,7"
"USC00190120","AMHERST, MA US","2012-09-19","75",",,7","55",",,7"
"USC00190120","AMHERST, MA US","2012-09-20","75",",,7","43",",,7"
"USC00190120","AMHERST, MA US","2012-09-21","68",",,7","45",",,7"
"USC00190120","AMHERST, MA US","2012-09-22","72",",,7","46",",,7"
"USC00190120","AMHERST, MA US","2012-09-23","72",",,7","50",",,7"
"USC00190120","AMHERST, MA US","2012-09-24","66",",,7","39",",,7"
"USC00190120","AMHERST, MA US","2012-09-25","65",",,7","36",",,7"
"USC00190120","AMHERST, MA US","2012-09-26","71",",,7","37",",,7"
"USC00190120","AMHERST, MA US","2012-09-27","71",",,7","54",",,7"
"USC00190120","AMHERST, MA US","2012-09-28","69",",,7","48",",,7"
"USC00190120","AMHERST, MA US","2012-09-29","53",",,7","48",",,7"
"USC00190120","AMHERST, MA US","2012-09-30","60",",,7","52",",,7"
"USC00190120","AMHERST, MA US","2012-10-01","65",",,7","47",",,7"
"USC00190120","AMHERST, MA US","2012-10-02","65",",,7","50",",,7"
"USC00190120","AMHERST, MA US","2012-10-03","65",",,7","50",",,7"
"USC00190120","AMHERST, MA US","2012-10-04","64",",,7","59",",,7"
"USC00190120","AMHERST, MA US","2012-10-05","66",",,7","55",",,7"
"USC00190120","AMHERST, MA US","2012-10-06","77",",,7","52",",,7"
"USC00190120","AMHERST, MA US","2012-10-07","76",",,7","38",",,7"
"USC00190120","AMHERST, MA US","2012-10-08","56",",,7","38",",,7"
