ident,y_proj,x_proj,Sector,Date of survey,Your name,Site ID,Number,Ownership,Under wire,Area,Rank,Street number,Street name,Street ext,Location,Comments,Street,Address,geom,ST_NUM,STREET_NAME
N4-12,897008.1517,106483.3405,N4,3/11/21,Molly,12,up to 3,S,N,L,1,,Elm and State,St,S,"Church property, Very Prominent spot!",Elm And State St,Elm And State St,"c(106483.340514302, 897008.151688412)",3,ELM ST
N4-13,896967.1412,106448.6139,N4,3/11/21,Molly,13,1,S,N,L,2,,West,St,F,Former Baptist Church owned  by Eric Suher,West St,West St,"c(106448.613882348, 896967.141189717)",298,MAIN ST
N4-16,896782.9247,106314.999,N4,3/11/21,Molly,16,2,S,N,L,2,,West,St,,Parking garage,West St,West St,"c(106314.999031782, 896782.924675457)",42,WEST ST
N1-3,896995.3844,106758.5268,N1,12/6/20,Sue&Molly,3,1,S,N,L,1,7,Old South&Brewster,St,S,,Old South&Brewster St,7 Old South&Brewster St,"c(106758.526764475, 896995.384449504)",7,OLD SOUTH ST
N1-15,897061.0012,107099.8399,N1,12/6/20,Sue&Molly,15,2,S,N,L,1,60,Gleason,Plaza,,In landscaped area with shrubs next to building,Gleason Plaza,60 Gleason Plaza,"c(107099.839947097, 897061.001247402)",160,PLEASANT ST
N2-5,897195.9544,106511.2442,N2,1/21/21,Molly,5,1,S,N,S,1,55,State,St,F/S,"20"" stump here",State St,55 State St,"c(106511.244189903, 897195.954416443)",49,STATE ST
N2-12,897382.7991,106714.6827,N2,1/21/21,Molly,12,1,S,N,S-L,2,76,King,St,F,Commercial bldg for sale,King St,76 King St,"c(106714.682721794, 897382.799130403)",74,KING ST
N2-19,897221.7337,106726.589,N2,1/21/21,Molly,19,1,S,N,S,3,15,Gothic,St,F left,across from garage,Gothic St,15 Gothic St,"c(106726.588995598, 897221.733704112)",15,GOTHIC ST
N2-20,897210.8196,106740.8104,N2,1/21/21,Molly,20,1,S,N,M,2,15,Gothic,St,F right,across from garage,Gothic St,15 Gothic St,"c(106740.810378209, 897210.819619779)",15,GOTHIC ST
N2-21,897189.9836,106773.5526,N2,1/21/21,Molly,21,1,S,N,M,2,15,Gothic,St,F right,fire hydrant,Gothic St,15 Gothic St,"c(106773.552631192, 897189.983640607)",15,GOTHIC ST
N1-27,896995.4374,106934.8719,N1,1/5/21,Molly,27,1,S,N,L,1,1,Hampden,Ave,S,corner of Hampden Court Bldg,Hampden Ave,1 Hampden Ave,"c(106934.871908821, 896995.437366277)",125,PLEASANT ST
N3-33,896647.1127,106760.7757,N3,1/5/21,Molly,33,1,S,N,M,2,18,Fruit,St,F,,Fruit St,18 Fruit St,"c(106760.775727302, 896647.112711292)",16,FRUIT ST
N4-35,896872.2217,106523.0281,N4,3/11/21,Molly,35,1,S,N,L,1,35,South,St,F right,,South St,35 South St,"c(106523.028093673, 896872.221729048)",35,NEW SOUTH ST
N4-36,896888.4275,106520.713,N4,3/11/21,Molly,36,1,S,N,L,1,25,South,St,F left,,South St,25 South St,"c(106520.712984875, 896888.427490622)",25,NEW SOUTH ST
N4-37,896947.2974,106515.752,N4,3/11/21,Molly,37,2-Jan,S,N,L,1,17,South,St,F,,South St,17 South St,"c(106515.752037458, 896947.297400028)",17,NEW SOUTH ST
N4-38,896962.8417,106489.9551,N4,3/11/21,Molly,38,1,S,,L,1,17,South,St,S,,South St,17 South St,"c(106489.95511087, 896962.841701955)",17,NEW SOUTH ST
