FID,UNIQUEID,SPP_COM,SPP_BOT,DBH,LOCATION,ADDRESS,STREET,ONSTR,X,Y,LATITUDE,LONGITUDE
547,CXK20161109120352,Vacant site small,Vacant site small,0.000000000000000,Street,137.000000000000000,GLENDALE RD,GLENDALE RD,99663.002955599994000,894442.513465999970000,42.294020549199999,-72.716756736600004
548,ZXR20161012092825,Vacant site small,Vacant site small,0.000000000000000,Street,76.000000000000000,GOTHIC ST,TRUMBULL RD,106581.981000999990000,897436.771151999940000,42.321833047399998,-72.633345032799994
549,CXK20161025145637,Vacant site large,Vacant site large,0.000000000000000,Street,227.000000000000000,ACREBROOK DR,ACREBROOK DR,101876.013550000000000,896842.033818000000000,42.315902129400001,-72.690329789700002
550,CXK20161013112654,Vacant site large,Vacant site large,0.000000000000000,Street,605.000000000000000,BRIDGE RD,BRIDGE RD,104768.946721999990000,899328.941150999980000,42.338647412699999,-72.655649054700007
551,ZXR20161013141751,Vacant site large,Vacant site large,0.000000000000000,Borderline,15.000000000000000,BUTLER PL,BUTLER PL,107256.612090000000000,897217.656128000000000,42.319940964799997,-72.625126315299994
552,ZXR20161013142239,Vacant site small,Vacant site small,0.000000000000000,Street,37.000000000000000,BUTLER PL,BUTLER PL,107324.849220000000000,897245.475931999970000,42.320199501200001,-72.624303033600000
553,ZXR20161012124853,Vacant site large,Vacant site large,0.000000000000000,Street,3.000000000000000,ELM ST,STATE ST,106494.962074000000000,897023.372989000050000,42.318101196400001,-72.634333925899995
554,ZXR20161012085736,Vacant site small,Vacant site small,0.000000000000000,Street,69.000000000000000,PROSPECT ST,PROSPECT ST,106350.112933000000000,897589.354706999960000,42.323178843000001,-72.636182374599997
555,ZXR20161017134233,Vacant site small,Vacant site small,0.000000000000000,Street,43.000000000000000,EASTERN AVE,EASTERN AVE,107438.629181000000000,897083.010668999980000,42.318750469100003,-72.622896908100003
556,ZXR20161017134341,Vacant site small,Vacant site small,0.000000000000000,Street,39.000000000000000,EASTERN AVE,WILLIAMS ST,107408.440600000000000,897057.411545000040000,42.318516445199997,-72.623259005400001
557,CXK20161021162410,Vacant site small,Vacant site small,0.000000000000000,Street,250.000000000000000,BRIDGE RD,NORTH MAPLE ST,103516.037848000010000,900312.732227999950000,42.347349642899999,-72.671015363799995
558,CXK20161019151618,Vacant site small,Vacant site small,0.000000000000000,Street,76.000000000000000,MAPLE ST,MAPLE ST,103409.676472000010000,898943.211398000010000,42.335008104899998,-72.672077708200007
559,ZXR20161012131955,Vacant site small,Vacant site small,0.000000000000000,Street,29.000000000000000,FORT HILL TERR,FORT HILL TERR,106483.207807000000000,896523.227300000030000,42.313597441299997,-72.634395814399994
560,ZXR20161012102223,Vacant site small,Vacant site small,0.000000000000000,Street,75.000000000000000,GOTHIC ST,TRUMBULL RD,106612.201866000000000,897442.322580000040000,42.321886636099997,-72.632979331700000
561,ZXR20161012092527,Vacant site small,Vacant site small,0.000000000000000,Street,107.000000000000000,STATE ST,TRUMBULL RD,106494.076856999990000,897425.123881999990000,42.321717677999999,-72.634409478799995
562,JXS20161018095211,Vacant site large,Vacant site large,0.000000000000000,Street,25.000000000000000,TEXAS RD,TEXAS RD,105704.763706000000000,895943.913038000000000,42.308288823399998,-72.643743298800004
563,JXS20161024160741,Vacant site small,Vacant site small,0.000000000000000,Street,297.000000000000000,KING ST,KING ST,106458.558023000010000,898662.383692999950000,42.332851298999998,-72.635040073100001
564,ZXR20161012131928,Vacant site small,Vacant site small,0.000000000000000,Street,23.000000000000000,FORT HILL TERR,FORT HILL TERR,106488.558145000000000,896504.120176999950000,42.313426078100001,-72.634327838199994
565,ZXR20161012131434,Vacant site large,Vacant site large,0.000000000000000,Street,123.000000000000000,SOUTH ST,SOUTH ST,106560.596999999990000,896449.846857000030000,42.312946126800000,-72.633445335600001
566,ZXR20161012092619,Vacant site small,Vacant site small,0.000000000000000,Street,32.000000000000000,TRUMBULL RD,TRUMBULL RD,106513.705017000000000,897426.258636999990000,42.321730242999998,-72.634171562000006
567,ZXR20161012093554,Vacant site small,Vacant site small,0.000000000000000,Street,70.000000000000000,GOTHIC ST,GOTHIC ST,106600.153160999990000,897407.218089999980000,42.321569182399998,-72.633119831900004
568,ZXR20161012101159,Vacant site large,Vacant site large,0.000000000000000,Street,57.000000000000000,GOTHIC ST,ALLEN PL,106648.791530000000000,897339.689662000050000,42.320967102499999,-72.632518947299999
