FID,UNIQUEID,SPP_COM,SPP_BOT,DBH,LOCATION,ADDRESS,STREET,ONSTR,X,Y,LATITUDE,LONGITUDE
30,CXK20161020141325,Stump,Stump,16.000000000000000,Street,113.000000000000000,FERN ST,JUNIPER ST,102851.667063999990000,899884.354534000040000,42.343411012499999,-72.679005875100003
31,CXK20161020131319,Stump,Stump,26.000000000000000,Street,12.000000000000000,WARREN ST,WARREN ST,103241.131200000000000,899483.986251999970000,42.339855277799998,-72.674212996500003
32,CXK20161110095948,Stump,Stump,30.000000000000000,Street,1024.000000000000000,WESTHAMPTON RD,WESTHAMPTON RD,99528.184719199999000,894811.579763000020000,42.297325554099999,-72.718455343900004
33,ZXR20161012093654,Stump,Stump,44.000000000000000,Street,70.000000000000000,GOTHIC ST,GOTHIC ST,106604.990155000010000,897393.010419999950000,42.321441862500002,-72.633058867200006
34,CXK20161116093512,Stump,Stump,13.000000000000000,Street,63.000000000000000,FLORENCE RD,FLORENCE RD,102942.760530000000000,898189.416573000020000,42.328164558300003,-72.677616516300006
35,CXK20161109114641,Stump,Stump,17.000000000000000,Street,193.000000000000000,GLENDALE RD,GLENDALE RD,99680.694719399995000,894180.289939000040000,42.291662285900003,-72.716496874100002
36,CXK20161109092921,Stump,Stump,16.000000000000000,Street,942.000000000000000,PARK HILL RD,PARK HILL RD,100081.878595000000000,893873.118416000040000,42.288948532799999,-72.711579768600004
37,CXK20161025083750,Stump,Stump,30.000000000000000,Street,120.000000000000000,RYAN RD,CLARK ST,102489.792407999990000,898076.043772000000000,42.327087547200001,-72.683092694799996
38,CXK20161025145158,Stump,Stump,32.000000000000000,Street,243.000000000000000,ACREBROOK DR,ACREBROOK DR,101821.509047000000000,896822.639904999990000,42.315720696100001,-72.690987606299998
39,CXK20161025114752,Stump,Stump,12.000000000000000,Street,402.000000000000000,RYAN RD,ACREBROOK DR,101884.941458000000000,897346.850038000030000,42.320447600400001,-72.690306953499999
40,CXK20161101094212,Stump,Stump,4.000000000000000,Street,29.000000000000000,CARDINAL WAY,CARDINAL WAY,101727.231956000000000,895544.507452000050000,42.304203090400001,-72.691914469799997
